User Name,tweet_id,created_at,Tweet_text
OPP GTA Traffic,1151205762741542913,2019-07-16 15:03:36,CLEARED:COLLISION: #QEW Toronto bound approaching Burloak Dr #Oakville ^ag
OPP GTA Traffic,1151205122996916225,2019-07-16 15:01:04,UPDATE:COLLISION: #Hwy401 WB  just after Islington Ave - Centre lanes remain blocked. ^ag https://t.co/4gynzAUW2g
OPP GTA Traffic,1151198382704267266,2019-07-16 14:34:17,COLLISION: #Hwy401 WB  just after Islington Ave - 3 vehicles blocking the centre lanes. ^ag https://t.co/SJdUunNQ3r
OPP GTA Traffic,1151196566620966918,2019-07-16 14:27:04,UPDATE: TRAFFIC HAZARD: #QEW Toronto bound off ramp to Nikola Tesla #HamOnt - Left lane remain blocked. ^ag
OPP GTA Traffic,1151194527480328192,2019-07-16 14:18:58,COLLISION: #QEW Toronto bound approaching Burloak Dr #Oakville - 2 vehicles blocking the left lane. ^ag
OPP GTA Traffic,1151173132784492544,2019-07-16 12:53:57,CLEARED:VEHICLE FIRE: #Hwy401 WB approaching Westney Rd #Ajax - All lanes are OPEN. ^ag
OPP GTA Traffic,1151153636543737856,2019-07-16 11:36:29,COLLISION: #Hwy401 EB Collectors just after Weston Rd  -2 vehicles blocking the right lane. ^ag
OPP GTA Traffic,1151150949223845889,2019-07-16 11:25:48,"RT @OPP_HSD: Rollover:#QEW EB ramp Centennial Pkwy remains closed for clean up of the load of dish detergent. 
Driver was trapped in his tr…"
OPP GTA Traffic,1151145967128928256,2019-07-16 11:06:00,UPDATE:VEHICLE FIRE: #Hwy401 WB approaching Westney Rd #Ajax - Right lanes blocked #OPP on scene. ^ag https://t.co/fCSL0L8TxP
OPP GTA Traffic,1151144259518705664,2019-07-16 10:59:13,VEHICLE FIRE: #Hwy401 WB approaching Westney Rd #Ajax - Tractor trailer on the right shoulder #OPP and Fire Dept en… https://t.co/iazLr9R11T
OPP GTA Traffic,1151205762741542913,2019-07-16 15:03:36,CLEARED:COLLISION: #QEW Toronto bound approaching Burloak Dr #Oakville ^ag
OPP GTA Traffic,1151205122996916225,2019-07-16 15:01:04,UPDATE:COLLISION: #Hwy401 WB  just after Islington Ave - Centre lanes remain blocked. ^ag https://t.co/4gynzAUW2g
OPP GTA Traffic,1151198382704267266,2019-07-16 14:34:17,COLLISION: #Hwy401 WB  just after Islington Ave - 3 vehicles blocking the centre lanes. ^ag https://t.co/SJdUunNQ3r
OPP GTA Traffic,1151196566620966918,2019-07-16 14:27:04,UPDATE: TRAFFIC HAZARD: #QEW Toronto bound off ramp to Nikola Tesla #HamOnt - Left lane remain blocked. ^ag
OPP GTA Traffic,1151194527480328192,2019-07-16 14:18:58,COLLISION: #QEW Toronto bound approaching Burloak Dr #Oakville - 2 vehicles blocking the left lane. ^ag
OPP GTA Traffic,1151173132784492544,2019-07-16 12:53:57,CLEARED:VEHICLE FIRE: #Hwy401 WB approaching Westney Rd #Ajax - All lanes are OPEN. ^ag
OPP GTA Traffic,1151153636543737856,2019-07-16 11:36:29,COLLISION: #Hwy401 EB Collectors just after Weston Rd  -2 vehicles blocking the right lane. ^ag
